시장,종목명,티커,현재가,거래대금(억),RSI,MA20,MA60,MA120,MA갭(20-60%),거래량비율,52주고점대비%,5일수익률%,거래량
KOSPI,한온시스템,018880,4620,1765.4,66.1,3915.0,3499.0,3462.0,11.87,1.89,81.1,-1.6,38212120
KOSDAQ,성호전자,043260,24600,993.6,66.1,19784.0,11804.0,6642.0,67.6,1.54,87.1,-0.2,4039128
KOSPI,삼성화재,000810,565000,1280.2,61.7,524150.0,503350.0,481700.0,4.13,1.53,87.5,2.9,226576
KOSDAQ,제노코,361390,28300,135.2,54.6,27650.0,21406.0,18845.0,29.17,1.48,85.0,2.9,477714
KOSPI,팬오션,028670,5250,183.6,61.2,4903.0,4299.0,4082.0,14.04,1.35,93.4,6.9,3497789
KOSDAQ,에이프릴바이오,397030,73000,444.5,63.5,60940.0,51435.0,40837.0,18.48,1.33,99.2,5.5,608897
KOSPI,OCI,456040,85000,116.8,70.0,76665.0,66572.0,62082.0,15.16,1.33,92.8,7.6,137458
KOSPI,현대약품,004310,13320,234.7,61.4,12390.0,8927.0,6376.0,38.79,1.31,83.5,0.5,1762369
KOSPI,더블유게임즈,192080,57200,70.9,62.3,53805.0,53458.0,52716.0,0.65,1.28,89.7,1.6,124021
KOSPI,세방전지,004490,71600,151.6,67.9,65565.0,64793.0,63854.0,1.19,1.26,92.1,6.5,211739
KOSPI,두산밥캣,241560,65400,386.1,59.8,62295.0,60108.0,58478.0,3.64,1.23,88.5,0.8,590423
KOSDAQ,한솔아이원스,114810,17440,133.1,66.0,14584.0,13019.0,12886.0,12.02,1.21,91.5,2.5,763111
KOSPI,두산에너빌리티,034020,102000,5656.1,59.0,93995.0,84987.0,78502.0,10.6,1.19,95.5,6.8,5545186
KOSPI,삼화페인트,000390,9760,131.8,65.9,8232.0,7144.0,6542.0,15.23,1.19,68.3,-8.0,1350108
KOSPI,삼영,003720,8190,288.7,67.2,6789.0,6542.0,5826.0,3.77,1.19,85.5,-0.5,3524591
KOSDAQ,아이텍,119830,8560,76.8,55.5,8220.0,6530.0,6275.0,25.88,1.18,88.0,-6.9,897545
KOSPI,대한해운,005880,2260,139.2,60.6,2080.0,1902.0,1833.0,9.36,1.18,93.2,6.6,6160249
KOSPI,한국가스공사,036460,44700,186.5,65.3,41535.0,40792.0,40644.0,1.82,1.16,90.6,6.2,417286
KOSDAQ,와이씨,232140,20850,262.0,57.6,19286.0,16005.0,14576.0,20.5,1.13,87.8,-2.8,1256471
KOSDAQ,이엔셀,456070,17700,270.7,46.6,16826.0,16164.0,13935.0,4.1,1.11,84.5,6.1,1529282
KOSPI,삼성물산,028260,332000,1267.4,60.4,310175.0,271617.0,235589.0,14.2,1.11,96.4,4.9,381738
KOSPI,대한항공,003490,26450,1667.2,69.0,24212.0,23055.0,22921.0,5.02,1.11,98.5,6.0,6303144
KOSDAQ,쏠리드,050890,8850,274.6,50.7,8712.0,7988.0,7515.0,9.08,1.09,90.6,-3.3,3102802
KOSDAQ,알멕,354320,62900,142.3,50.8,61855.0,37365.0,29533.0,65.54,1.09,83.5,-5.8,226298
KOSPI,키움증권,039490,472000,820.0,59.2,427575.0,338825.0,299083.0,26.19,1.09,91.3,5.5,173724
KOSDAQ,하림지주,003380,16790,972.2,62.2,14880.0,11712.0,9779.0,27.06,1.08,85.6,5.8,5790252
KOSPI,GS,078930,73000,379.3,61.4,68105.0,60885.0,54782.0,11.86,1.07,90.1,4.7,519597
KOSPI,금호석유화학,011780,147000,184.0,53.1,142800.0,130575.0,121046.0,9.36,1.06,96.0,5.1,125137
KOSPI,한국타이어앤테크놀로지,161390,73700,307.5,68.8,68410.0,62783.0,53482.0,8.96,1.06,94.0,1.4,417193
KOSPI,SK텔레콤,017670,80100,1032.7,61.1,73165.0,60488.0,57366.0,20.96,1.02,90.4,6.2,1289265
KOSPI,영원무역,111770,91500,98.4,56.6,88150.0,87493.0,75072.0,0.75,1.01,92.2,-2.8,107492
KOSDAQ,디케이티,290550,11980,329.1,63.0,10215.0,8111.0,8104.0,25.94,1.01,96.4,2.0,2747189
KOSPI,롯데케미칼,011170,86200,300.1,49.8,80780.0,75323.0,72698.0,7.24,1.0,96.3,7.8,348152
KOSPI,산일전기,062040,164700,1650.2,59.1,148490.0,143240.0,135598.0,3.67,1.0,92.1,7.1,1001950
